soil,hzn,trat,method,rep,clay,coarse_sand,coarse_silt,fine_sand,fine_silt,middle_sand,middle_silt,sand,silt
BJS,HZN1,REM,CLASSIC,A,16.0024,1.3037999999999998,21.0428,19.5856,9.40971,9.74933,22.906399999999998,30.6388,53.3589
BJS,HZN1,SINREM,CLASSIC,A,12.812999999999999,4.02365,21.163999999999998,12.615699999999999,10.8234,17.363400000000002,21.1967,34.0028,53.184200000000004
BJS,HZN1,SINREM,CLASSIC,B,16.5439,1.18827,20.8149,21.0346,8.6478,8.66391,23.1066,30.886799999999997,52.5693
BJS,HZN1,SINREM,PLUS,A,22.1409,3.29706,15.7116,16.72,11.3957,12.256,18.4787,32.2731,45.586
